date AgR received,Date CRB collected,Country,collection site,Treatment,sex,OrNV status,CRBhaplotype,Aubrey tube no.,specimen_id
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,1,32
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,2,69
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,6,72
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,7,22
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,8,44
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,10,46
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,12,200
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,15,20
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,16,18
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,21,93
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,27,109
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,28,35
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,29,41
2023-10-19,2023-08-02,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,32,207
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,failed,failed,36,95
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,39,34
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,3,27
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,yes,CRB-G,9,37
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,11,196
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",DUG42,f,failed,failed,13,49
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,19,33
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",DUG42,m,yes,CRB-G,23,80
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,24,64
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,25,147
2023-10-19,2023-08-08,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,26,273
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,30,130
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,31,73
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",PNG,m,no,CRB-G,14,118
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",PNG,m,no,CRB-G,17,154
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",PNG,f,yes,CRB-G,33,54
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",PNG,f,yes,CRB-G,35,126
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",V23B,m,no,CRB-G,20,40
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",V23B,f,yes,CRB-G,22,129
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",V23B,m,yes,CRB-G,38,170
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",X2B,f,no,CRB-G,4,144
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,m,no,CRB-G,5,71
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,f,failed,failed,18,67
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,f,yes,CRB-G,34,42
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",X2B,f,no,CRB-G,37,203
